Local Site Name,Month_Year,Site Latitude,Site Longitude,CO,NO,PM10,PM2.5,SO2
COM ED MAINTENANCE BLDG,2022-08,41.7513999786378,-87.7134881520007,,,,43.911764705882355,
COM ED MAINTENANCE BLDG,2022-09,41.7513999786378,-87.7134881520007,,,,39.542857142857144,
COM ED MAINTENANCE BLDG,2022-10,41.7513999786378,-87.7134881520007,,,,32.42307692307692,
COM ED MAINTENANCE BLDG,2022-11,41.7513999786378,-87.7134881520007,,,,39.121212121212125,
COM ED MAINTENANCE BLDG,2022-12,41.7513999786378,-87.7134881520007,,,,43.108108108108105,
COM ED MAINTENANCE BLDG,2023-01,41.7513999786378,-87.7134881520007,,,,41.39393939393939,
COM ED MAINTENANCE BLDG,2023-02,41.7513999786378,-87.7134881520007,,,,38.07692307692308,
COM ED MAINTENANCE BLDG,2023-03,41.7513999786378,-87.7134881520007,,,,36.31428571428572,
COM ED MAINTENANCE BLDG,2023-04,41.7513999786378,-87.7134881520007,,,,38.77142857142857,
COM ED MAINTENANCE BLDG,2023-05,41.7513999786378,-87.7134881520007,,,,46.6551724137931,
COM ED MAINTENANCE BLDG,2023-06,41.7513999786378,-87.7134881520007,,,,87.53333333333333,
COM ED MAINTENANCE BLDG,2023-07,41.7513999786378,-87.7134881520007,,,,55.416666666666664,
COM ED MAINTENANCE BLDG,2023-08,41.7513999786378,-87.7134881520007,,,,52.457142857142856,
COM ED MAINTENANCE BLDG,2023-09,41.7513999786378,-87.7134881520007,,,,51.08571428571429,
COM ED MAINTENANCE BLDG,2023-10,41.7513999786378,-87.7134881520007,,,,41.166666666666664,
COM ED MAINTENANCE BLDG,2023-11,41.7513999786378,-87.7134881520007,,,,42.794117647058826,
COM ED MAINTENANCE BLDG,2023-12,41.7513999786378,-87.7134881520007,,,,40.857142857142854,
COM ED MAINTENANCE BLDG,2024-01,41.7513999786378,-87.7134881520007,,,,40.18181818181818,
COM ED MAINTENANCE BLDG,2024-02,41.7513999786378,-87.7134881520007,,,,41.29032258064516,
COM ED MAINTENANCE BLDG,2024-03,41.7513999786378,-87.7134881520007,,,,35.945945945945944,
COM ED MAINTENANCE BLDG,2024-04,41.7513999786378,-87.7134881520007,,,,31.25,
COM ED MAINTENANCE BLDG,2024-05,41.7513999786378,-87.7134881520007,,,,40.911764705882355,
COM ED MAINTENANCE BLDG,2024-06,41.7513999786378,-87.7134881520007,,,,41.833333333333336,
COM ED MAINTENANCE BLDG,2024-07,41.7513999786378,-87.7134881520007,,,,51.138888888888886,
COM ED MAINTENANCE BLDG,2024-08,41.7513999786378,-87.7134881520007,,,,49.3,
COM ED MAINTENANCE BLDG,2024-09,41.7513999786378,-87.7134881520007,,,,42.642857142857146,
COM ED MAINTENANCE BLDG,2024-10,41.7513999786378,-87.7134881520007,,,,39.34375,
COM ED MAINTENANCE BLDG,2024-11,41.7513999786378,-87.7134881520007,,,,25.416666666666668,
COM ED MAINTENANCE BLDG,2024-12,41.7513999786378,-87.7134881520007,,,,42.935483870967744,
COOK COUNTY TRAILER,2011-01,41.6681203371799,-87.9905696935943,,,,,18.258064516129032
COOK COUNTY TRAILER,2011-01,41.8552431328191,-87.7524696987102,5.516129032258065,34.03448275862069,,,18.258064516129032
COOK COUNTY TRAILER,2011-02,41.6681203371799,-87.9905696935943,,,,,19.464285714285715
COOK COUNTY TRAILER,2011-02,41.8552431328191,-87.7524696987102,6.035714285714286,38.5,,,19.464285714285715
