Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/03/2019,AQS,170314201,1,11,ug/m3 SC,10,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/03/2019,AQS,170314201,9,11,ug/m3 SC,10,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/03/2019,AQS,171191007,1,38,ug/m3 SC,35,FIRESTATION #1,1,100.0,81102,PM10 Total 0-10um STP,63,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.7045342604079,-90.1396748417377
01/03/2020,AQS,170311016,4,27,ug/m3 SC,25,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/04/2011,AQS,170310022,4,22,ug/m3 SC,20,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/04/2011,AQS,170311016,4,18,ug/m3 SC,17,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,76,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/04/2012,AQS,170310022,4,33,ug/m3 SC,31,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/04/2012,AQS,170311016,4,28,ug/m3 SC,26,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/04/2012,AQS,170314201,1,7,ug/m3 SC,6,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2012,AQS,171190010,1,17,ug/m3 SC,16,AIR PRODUCTS,1,100.0,81102,PM10 Total 0-10um STP,63,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.6944383054424,-90.1539542590622
01/04/2013,AQS,170310022,4,109,ug/m3 SC,78,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/04/2013,AQS,170314201,1,17,ug/m3 SC,16,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2013,AQS,170314201,9,16,ug/m3 SC,15,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2013,AQS,171190010,1,18,ug/m3 SC,17,AIR PRODUCTS,1,100.0,81102,PM10 Total 0-10um STP,63,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.6944383054424,-90.1539542590622
