Layer,Name,GEOID,Population,Longitude,Latitude,PMC_2011,PMC_2012,PMC_2013,PMC_2014,PMC_2015,PMC_2016,PMC_2017,PMC_2018,PMC_2019,PMC_2020
Census tract,Tract 2306,17031230600,6817,-87.7339986,41.906155,12.545156,12.06537186,11.53679452,13.06377534,9.905005464,9.508410685,10.44866548,10.44866548,10.03397644,9.231059016
Census tract,Tract 2307,17031230700,6218,-87.7215397,41.9063229,12.57954,12.0652153,11.53918438,13.07565616,9.887984699,9.475919726,10.40742932,10.40742932,10.00741753,9.214019672131148
Census tract,Tract 2308,17031230800,1234,-87.714953,41.9058396,12.559685,12.05033169,11.54367315,13.06466411,9.877893169,9.463580274,10.37761479,10.37761479,9.987595342465752,9.201274044
Census tract,Tract 2309,17031230900,5044,-87.7103505,41.9066918,12.573713,12.0463071,11.54425562,13.05258466,9.85644071,9.456432877,10.36801781,10.36801781,9.972643562,9.193057377
Census tract,Tract 2311,17031231100,1214,-87.7150684,41.8992542,12.564865,12.07326749,11.56667973,13.0855074,9.905782787,9.476428767,10.41951425,10.41951425,10.01640548,9.231301912568307
Census tract,Tract 2312,17031231200,5983,-87.7213153,41.8990614,12.549006,12.09101393,11.56918959,13.07937425,9.901048361,9.496107945,10.44647233,10.44647233,10.03135014,9.243799180327867
Census tract,Tract 2315,17031231500,5655,-87.7186525,41.8917357,12.580026,12.10068388,11.60190411,13.11458849,9.926806831,9.510272055,10.45757151,10.45757151,10.05624027,9.263362022
Census tract,Tract 2402,17031240200,1556,-87.6701816,41.9124417,12.623475,11.96233743,11.51051178,12.99569726,9.770942076,9.343444384,10.21757233,10.21757233,9.841572602739728,9.096267486
Census tract,Tract 2403,17031240300,1362,-87.6750677,41.9123693,12.615007,11.97456393,11.51440932,13.00899507,9.788063934,9.351069863,10.2342189,10.2342189,9.864570684931508,9.102043443
Census tract,Tract 2405,17031240500,2610,-87.6836267,41.9119683,12.672891,11.98894098,11.52068712,13.00418027,9.803015574,9.371567123,10.26928795,10.26928795,9.887912329,9.126556557
Census tract,Tract 2406,17031240600,1489,-87.6897111,41.9121341,12.656082,12.00491831,11.51652438,13.00730274,9.817916667,9.388270137,10.2840326,10.2840326,9.892005479452052,9.134688251
Census tract,Tract 2407,17031240700,1499,-87.6945986,41.9120878,12.647517,12.00579153,11.51177808,13.04168795,9.828050273,9.40012274,10.29437699,10.29437699,9.917368767123293,9.137306011
Census tract,Tract 2408,17031240800,1687,-87.6994876,41.9120483,12.605134,12.01307814,11.51336575,13.02476877,9.833973497,9.408542192,10.31315123,10.31315123,9.918436164,9.147081421
Census tract,Tract 2409,17031240900,1122,-87.6986233,41.9048448,12.629454,12.03998197,11.5449474,13.0522663,9.848442896,9.42706,10.35622438,10.35622438,9.976700548,9.180800546
Census tract,Tract 2410,17031241000,2363,-87.6945342,41.9079686,12.664415,12.01855956,11.53483123,13.04103973,9.833283333,9.41368137,10.31323945,10.31323945,9.92909589,9.154117486
Census tract,Tract 2411,17031241100,3574,-87.6895801,41.9066403,12.682079,12.01598989,11.5413189,13.04388411,9.824464481,9.396578904,10.3030926,10.3030926,9.919448767,9.151982514
Census tract,Tract 2412,17031241200,1714,-87.6846857,41.906707,12.688231,12.00629016,11.53644164,13.0186874,9.81877623,9.392495616,10.29302438,10.29302438,9.907830959,9.149606284153013
Census tract,Tract 2413,17031241300,1848,-87.681025,41.9067716,12.704649,12.00839781,11.54258082,13.02876164,9.814301093,9.384725479,10.27391151,10.27391151,9.896563288,9.131497814
Census tract,Tract 2414,17031241400,5273,-87.6753137,41.9060312,12.643697,11.99474781,11.5372263,13.0301063,9.799837978,9.378685753,10.2598126,10.2598126,9.881756164,9.136540163934432
Census tract,Tract 2415,17031241500,2954,-87.6709298,41.908374,12.642495,11.98013607,11.53898192,13.0125926,9.78022541,9.349065479,10.24446986,10.24446986,9.863801644,9.118099454
Census tract,Tract 2416,17031241600,3534,-87.6653277,41.9067097,12.663764,11.97210301,11.53135233,13.01709507,9.774842623,9.349928767,10.22915945,10.22915945,9.859476712328767,9.110293443
Census tract,Tract 2420,17031242000,4692,-87.6649536,41.8997371,12.69384,11.9969082,11.56435562,13.03684795,9.796760656,9.370175616,10.26127808,10.26127808,9.889070411,9.139484426
Census tract,Tract 2421,17031242100,3976,-87.6698375,41.8996698,12.765791,12.01415574,11.56617945,13.04462192,9.806439891,9.392625753,10.27997589,10.27997589,9.895722192,9.143103005
Census tract,Tract 2422,17031242200,4082,-87.6747188,41.8995893,12.75043,12.01258525,11.55838192,13.04772548,9.821863934,9.383992603,10.29092082,10.29092082,9.914713424657528,9.153366939890708
Census tract,Tract 2423,17031242300,3568,-87.6796003,41.8995065,12.732859,12.01745956,11.55984137,13.06647781,9.828680601,9.406188493,10.31408164,10.31408164,9.922636438,9.171763661
Census tract,Tract 2424,17031242400,2902,-87.68449,41.8994219,12.72301,12.03745683,11.55579014,13.0684874,9.843034153,9.409351781,10.32011753,10.32011753,9.939586575342473,9.166536339
Census tract,Tract 2425,17031242500,3426,-87.6893191,41.8994455,12.707508,12.03255464,11.5666937,13.06434192,9.847082787,9.415838356,10.33420219,10.33420219,9.953503836,9.178297814207648
Census tract,Tract 2426,17031242600,5665,-87.694197,41.90056,12.69187,12.04580765,11.55928384,13.06551699,9.85520929,9.43050411,10.34349699,10.34349699,9.966904657534252,9.191268032786892
Census tract,Tract 2427,17031242700,1938,-87.6993742,41.8974254,12.634076,12.05318142,11.57375973,13.07632685,9.868915301,9.450251507,10.37346055,10.37346055,9.981265205479453,9.201867213114753
Census tract,Tract 2428,17031242800,1507,-87.6903237,41.892632,12.703608,12.05015929,11.59692767,13.09146548,9.857914208,9.444525205,10.36034904,10.36034904,9.979901369863008,9.213153551912567
Census tract,Tract 2429,17031242900,1962,-87.6842896,41.8921955,12.721297,12.04807186,11.5934463,13.10921315,9.844643443,9.439736712,10.34332932,10.34332932,9.968189863,9.19844071
Census tract,Tract 2430,17031243000,2234,-87.6793981,41.8922753,12.732228,12.05208716,11.5917863,13.08838603,9.845196721,9.422122192,10.33047863,10.33047863,9.956863836,9.193576776
Census tract,Tract 2431,17031243100,2249,-87.6745068,41.8923546,12.74769,12.03535956,11.57620959,13.08236822,9.838039617,9.401227945,10.31652219,10.31652219,9.943486849,9.184066393
Census tract,Tract 2432,17031243200,2287,-87.6696238,41.8924327,12.799181,12.03151066,11.58208027,13.09003836,9.830492623,9.399809315,10.2972989,10.2972989,9.932187123287672,9.173822951
Census tract,Tract 2433,17031243300,2431,-87.6647388,41.8924781,12.845119,12.01951093,11.5828411,13.08054877,9.81959071,9.390822466,10.28695836,10.28695836,9.918856986301368,9.168331967
Census tract,Tract 2434,17031243400,2880,-87.659854,41.892566,12.854941,12.01963142,11.58396877,13.07956438,9.806870219,9.373318082,10.26667644,10.26667644,9.907504384,9.161399727
Census tract,Tract 2435,17031243500,4746,-87.6525227,41.8926494,12.78552277379848,12.001274909305426,11.580992233444357,13.066462644943082,9.791917671515106,9.363818450600105,10.249817147169669,10.24979753,9.878530411,9.142019399
Census tract,Tract 2502,17031250200,2779,-87.751073,41.9123508,12.4831,12.06631011,11.50806521,13.0394811,9.925154918,9.515603836,10.4660474,10.4660474,10.04492384,9.235024317
